year,region_name,total_adopted,total_promoted,total_fora,total_proj_cost,total_graduated,total_setup,fund_utilized,total_projects,total_cal,consultancy_total
2002,CALABARZON,,,,,1,1,,,,
2002,CALABARZON,,,,150000,,,,,,
2005,CALABARZON,,,,,,,0.00,3,,
2005,CALABARZON,,,,,2,4,,,,
2005,CALABARZON,,,,2493000,,,,,,
2006,CALABARZON,,,,,,,0.00,5,,
2006,CALABARZON,,,,,2,2,,,,
2006,CALABARZON,,,,926592,,,,,,
2007,CALABARZON,,,,,,,0.00,3,,
2007,CALABARZON,,,,,1,1,,,,
2007,CALABARZON,,,,867000,,,,,,
2008,CALABARZON,,,,,,,0.00,3,,
2008,CALABARZON,,,,,3,4,,,,
2008,CALABARZON,,,,,,,,,,1
2008,CALABARZON,,,,3562000,,,,,,
2009,CALABARZON,,,,,1,3,,,,
2009,CALABARZON,,,,,,,0.00,5,,
2009,CALABARZON,,,,1559750,,,,,,
2010,CALABARZON,,,,,,,0.00,2,,
2010,CALABARZON,,,,,,,,,,1
2010,CALABARZON,,,,100000,,,,,,
2011,CALABARZON,,,,,2,3,,,,
2011,CALABARZON,,,,,,,0.00,5,,
2011,CALABARZON,,,,,,,,,,6
2011,CALABARZON,,,,1587890,,,,,,
2012,CALABARZON,,,,,10,14,,,,
2012,CALABARZON,,,,,,,13062300.00,33,,
2012,CALABARZON,,,,,,,,,48,
2012,CALABARZON,,,,,,,,,,12
2012,CALABARZON,,,,14418053,,,,,,
2013,CALABARZON,,,,,25,37,,,,
2013,CALABARZON,,,,,,,30726114.00,77,,
2013,CALABARZON,,,,,,,,,48,
2013,CALABARZON,,,,,,,,,,20
2013,CALABARZON,,,22,,,,,,,
2013,CALABARZON,,,,38296604,,,,,,
2014,CALABARZON,,,,,17,28,,,,
2014,CALABARZON,,,,,,,58424803.10,154,,
2014,CALABARZON,,,,,,,,,48,
2014,CALABARZON,,,,,,,,,,26
2014,CALABARZON,,,119,,,,,,,
2014,CALABARZON,,,,43036599,,,,,,
2015,CALABARZON,,,,,14,32,,,,
2015,CALABARZON,,,,,,,207028631.48,667,,
2015,CALABARZON,,,,,,,,,48,
2015,CALABARZON,,,,,,,,,,23
2015,CALABARZON,,,95,,,,,,,
2015,CALABARZON,,,,39221935,,,,,,
2016,CALABARZON,,,,,3,25,,,,
2016,CALABARZON,,,,,,,320235579.51,1034,,
2016,CALABARZON,,,,,,,,,48,
2016,CALABARZON,,,,,,,,,,45
2016,CALABARZON,,,192,,,,,,,
2016,CALABARZON,,,,27088297,,,,,,
2017,CALABARZON,,,,,8,69,,,,
2017,CALABARZON,,,,,,,415699071.58,1215,,
2017,CALABARZON,,,,,,,,,52,
2017,CALABARZON,,,,,,,,,,84
2017,CALABARZON,,,232,,,,,,,
2017,CALABARZON,,,,126833627,,,,,,
2018,CALABARZON,,,,,,,399858798.98,1249,,
2018,CALABARZON,,,,,,,,,48,
2018,CALABARZON,,,,,,,,,,53
2018,CALABARZON,,,211,,,,,,,
2018,CALABARZON,,,,89600373,,,,,,
2019,CALABARZON,,,,,,,3155148854.18,1108,,
2019,CALABARZON,,,,,,,,,48,
2019,CALABARZON,,,,,,,,,,58
2019,CALABARZON,18,,,,,,,,,
2019,CALABARZON,,73,,,,,,,,
2019,CALABARZON,,,192,,,,,,,
2019,CALABARZON,,,,52669085,,,,,,
2020,CALABARZON,,,,,,,419778579.28,869,,
2020,CALABARZON,,,,,,,,,45,
2020,CALABARZON,,,,78625799,,,,,,
2020,CALABARZON,4,,,,,,,,,
2020,CALABARZON,,26,,,,,,,,
2020,CALABARZON,,,185,,,,,,,
2021,CALABARZON,,,,18155227,,,,,,
2021,CALABARZON,,,,,,,145858605.32,264,,
2021,CALABARZON,,,,,,,,,28,
2021,CALABARZON,,,109,,,,,,,
