year,region,sector,Completed,New,On-going,Terminated,Withdrawn,total_count
1997,Region X,Other Regional Industry Priorities,,,1,,,1
1999,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2002,Region X,ICT,1,,,,,1
2003,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2008,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2008,Region X,Other Regional Industry Priorities,1,,,,,1
2010,Region III,Food Processing,1,,,,,1
2010,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,2,,,,,2
2010,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2011,Region VI,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2011,Region VI,Gifts / Decors / Handicrafts,1,,,,,1
2011,Region VI,Metals & Engineering,1,,,,,1
2011,Region VI,Other Regional Industry Priorities,2,,,,,2
2011,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2011,Region VIII,ICT,1,,,,,1
2011,Region VIII,Other Regional Industry Priorities,1,,,,,1
2011,Region X,Gifts / Decors / Handicrafts,1,,,,,1
2011,Region X,Other Regional Industry Priorities,,,,1,,1
2012,Region VI,Agriculture / Marine / Aquaculture / Forestry / Livestock,3,,,,,3
2012,Region VI,Food Processing,3,,1,,,4
2012,Region VI,Gifts / Decors / Handicrafts,1,,,,,1
2012,Region VI,ICT,1,,,,,1
2012,Region VI,Other Regional Industry Priorities,2,,,,,2
2012,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2012,Region VIII,Other Regional Industry Priorities,2,,,,,2
2012,Region VIII,(blank),2,,,,,2
2012,Region X,Food Processing,,,,1,,1
2013,CAR,Other Regional Industry Priorities,1,,,,,1
2013,CAR,,,,,,,
2013,Region III,Other Regional Industry Priorities,1,,,,,1
2013,Region III,,,,,,,
2013,Region VI,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2013,Region VI,Food Processing,1,,,,,1
2013,Region VI,Gifts / Decors / Handicrafts,1,,,,,1
2013,Region VI,ICT,2,,,,,2
2013,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2013,Region VIII,ICT,2,,,,,2
2013,Region VIII,(blank),4,,,,,4
2013,Region X,Food Processing,1,,,,,1
2013,Region X,Gifts / Decors / Handicrafts,,,,1,,1
2013,Region X,Other Regional Industry Priorities,,,3,,,3
2014,Region III,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2014,Region III,Furniture,1,,,,,1
2014,Region III,Other Regional Industry Priorities,,,1,,,1
2014,Region VI,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,1,,,2
2014,Region VI,Food Processing,1,,1,,,2
2014,Region VI,Other Regional Industry Priorities,1,,,,,1
2014,Region VIII,Food Processing,1,,,,,1
2014,Region VIII,ICT,1,,,,,1
2014,Region VIII,Other Regional Industry Priorities,1,,,,,1
2014,Region VIII,(blank),5,,,,,5
2014,Region X,Food Processing,2,,,,,2
2014,Region X,Health & Wellness Products,1,,,,,1
2015,Region III,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2015,Region III,Food Processing,1,,,,,1
2015,Region III,Other Regional Industry Priorities,2,,,,,2
2015,Region VI,ICT,,,1,,,1
2015,Region VI,Metals & Engineering,1,,,,,1
2015,Region VIII,Other Regional Industry Priorities,1,,,,,1
2015,Region VIII,(blank),3,,,,,3
2015,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,2,,,1,,3
2015,Region X,Furniture,2,,,,,2
2015,Region X,Gifts / Decors / Handicrafts,,,,,1,1
2015,Region X,Other Regional Industry Priorities,1,,,,,1
2016,Region III,Metals & Engineering,1,,,,,1
2016,Region III,Other Regional Industry Priorities,2,,,,,2
2016,Region IV-A,Food Processing,,,4,,,4
2016,Region VI,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2016,Region VI,Food Processing,,,1,,,1
2016,Region VI,Furniture,1,,,,,1
2016,Region VI,Other Regional Industry Priorities,,,1,,,1
2016,Region VIII,ICT,2,,,,,2
2016,Region VIII,Other Regional Industry Priorities,2,,,,,2
2016,Region VIII,(blank),4,,,,,4
2016,Region X,Food Processing,,,,1,,1
2016,Region X,Other Regional Industry Priorities,1,,,,,1
2017,Region III,Food Processing,3,,,,,3
2017,Region III,Furniture,1,,,,,1
2017,Region III,Gifts / Decors / Handicrafts,1,,,,,1
2017,Region III,Other Regional Industry Priorities,4,,,,,4
2017,Region IV-A,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2017,Region IV-A,Food Processing,1,,,,,1
2017,Region IV-A,Other Regional Industry Priorities,1,,,,,1
2017,Region VI,Food Processing,,,1,,,1
2017,Region VI,Other Regional Industry Priorities,,,1,,,1
2017,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,13,,,13
2017,Region VIII,Food Processing,2,,34,,,36
2017,Region VIII,Health & Wellness Products,,,1,,,1
2017,Region VIII,ICT,1,,,,,1
2017,Region VIII,Other Regional Industry Priorities,2,,3,,,5
2017,Region VIII,(blank),4,,5,,,9
2017,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,1,,2
2017,Region X,Food Processing,1,,,2,,3
2017,Region X,Furniture,,,,1,,1
2017,Region X,Gifts / Decors / Handicrafts,,,,1,,1
2017,Region X,Health & Wellness Products,,,1,,1,2
2017,Region X,Other Regional Industry Priorities,3,,1,3,1,8
2018,Region IV-A,Food Processing,1,,1,,,2
2018,Region IV-A,ICT,1,,,,,1
2018,Region VI,Other Regional Industry Priorities,,,1,,,1
2018,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2018,Region VIII,Food Processing,1,,2,,,3
2018,Region VIII,(blank),,,2,,,2
2018,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,3,,,3
2018,Region X,Food Processing,,,4,,,4
2018,Region X,Gifts / Decors / Handicrafts,,,1,,,1
2018,Region X,Health & Wellness Products,1,,2,,,3
2018,Region X,ICT,,,2,,,2
2018,Region X,Other Regional Industry Priorities,,,2,,,2
2019,Region IV-A,Agriculture / Marine / Aquaculture / Forestry / Livestock,,1,4,,,5
2019,Region IV-A,,,,,,,
2019,Region VI,Food Processing,,,1,,,1
2019,Region VIII,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,2,,,2
2019,Region VIII,Food Processing,,,1,,,1
2019,Region VIII,(blank),,,1,,,1
2019,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,9,1,13,,,23
2019,Region X,Food Processing,2,1,10,,,13
2019,Region X,Furniture,,,1,,,1
2019,Region X,Gifts / Decors / Handicrafts,1,,,,,1
2019,Region X,Health & Wellness Products,,,2,,,2
2019,Region X,ICT,,,1,,,1
2019,Region X,Other Regional Industry Priorities,1,1,1,,,3
2020,CAR,Other Regional Industry Priorities,,,3,,,3
2020,Region III,Food Processing,1,,,,,1
2020,Region IV-A,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,2,,,2
2020,Region IV-A,Health & Wellness Products,1,,,,,1
2020,Region IV-A,ICT,,,1,,,1
2020,Region IV-A,Other Regional Industry Priorities,,,4,,,4
2020,Region VIII,(blank),,,1,,,1
2020,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,5,7,,,12
2020,Region X,Food Processing,,3,9,,,12
2020,Region X,Furniture,,,1,,,1
2020,Region X,Gifts / Decors / Handicrafts,,2,,,,2
2020,Region X,Health & Wellness Products,,1,,,,1
2020,Region X,ICT,,1,,,,1
2020,Region X,Metals & Engineering,,,1,,,1
2020,Region X,Other Regional Industry Priorities,,,3,,,3
2021,CAR,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2021,Region III,Agriculture / Marine / Aquaculture / Forestry / Livestock,1,,,,,1
2021,Region IV-A,ICT,,1,,,,1
2021,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,4,6,,,10
2021,Region X,Food Processing,,1,7,,,8
2021,Region X,Gifts / Decors / Handicrafts,,,2,,,2
2021,Region X,Health & Wellness Products,,,4,,,4
2021,Region X,ICT,1,,2,,,3
2021,Region X,Metals & Engineering,,,2,,,2
2021,Region X,Other Regional Industry Priorities,,,13,,,13
2022,Region X,Agriculture / Marine / Aquaculture / Forestry / Livestock,,,1,,,1
2022,Region X,ICT,,,1,,,1
